"rgi_id","rgi_g_id","segment_id","is_main","outflow_id","strahler_n","length_m"
"RGI2000-v7.0-L-01-00001","RGI2000-v7.0-G-01-00001",0,1,-1,1,725
"RGI2000-v7.0-L-01-00002","RGI2000-v7.0-G-01-00002",0,1,-1,1,484
"RGI2000-v7.0-L-01-00003","RGI2000-v7.0-G-01-00003",0,1,-1,1,1099
"RGI2000-v7.0-L-01-00004","RGI2000-v7.0-G-01-00004",0,1,-1,1,652
"RGI2000-v7.0-L-01-00005","RGI2000-v7.0-G-01-00005",0,1,-1,1,1903
"RGI2000-v7.0-L-01-00006","RGI2000-v7.0-G-01-00006",0,1,-1,1,858
"RGI2000-v7.0-L-01-00007","RGI2000-v7.0-G-01-00007",0,1,-1,1,1592
"RGI2000-v7.0-L-01-00008","RGI2000-v7.0-G-01-00008",0,1,-1,1,1435
"RGI2000-v7.0-L-01-00009","RGI2000-v7.0-G-01-00009",0,1,-1,1,369
"RGI2000-v7.0-L-01-00010","RGI2000-v7.0-G-01-00010",0,1,-1,1,1520
"RGI2000-v7.0-L-01-00011","RGI2000-v7.0-G-01-00011",0,1,-1,1,1332
"RGI2000-v7.0-L-01-00012","RGI2000-v7.0-G-01-00012",0,0,1,1,735
"RGI2000-v7.0-L-01-00013","RGI2000-v7.0-G-01-00012",1,1,-1,2,1706
"RGI2000-v7.0-L-01-00014","RGI2000-v7.0-G-01-00013",0,1,-1,1,437
"RGI2000-v7.0-L-01-00015","RGI2000-v7.0-G-01-00014",0,1,-1,1,563
"RGI2000-v7.0-L-01-00016","RGI2000-v7.0-G-01-00015",0,0,1,1,478
"RGI2000-v7.0-L-01-00017","RGI2000-v7.0-G-01-00015",1,1,-1,2,1899
"RGI2000-v7.0-L-01-00018","RGI2000-v7.0-G-01-00016",0,1,-1,1,596
"RGI2000-v7.0-L-01-00019","RGI2000-v7.0-G-01-00017",0,0,1,1,901
"RGI2000-v7.0-L-01-00020","RGI2000-v7.0-G-01-00017",1,1,-1,2,3577
"RGI2000-v7.0-L-01-00021","RGI2000-v7.0-G-01-00018",0,1,-1,1,1048
"RGI2000-v7.0-L-01-00022","RGI2000-v7.0-G-01-00019",0,1,-1,1,870
"RGI2000-v7.0-L-01-00023","RGI2000-v7.0-G-01-00020",0,1,-1,1,430
"RGI2000-v7.0-L-01-00024","RGI2000-v7.0-G-01-00021",0,1,-1,1,900
"RGI2000-v7.0-L-01-00025","RGI2000-v7.0-G-01-00022",0,1,-1,1,299
"RGI2000-v7.0-L-01-00026","RGI2000-v7.0-G-01-00023",0,1,-1,1,584
"RGI2000-v7.0-L-01-00027","RGI2000-v7.0-G-01-00024",0,1,-1,1,1588
"RGI2000-v7.0-L-01-00028","RGI2000-v7.0-G-01-00025",0,1,-1,1,1247
"RGI2000-v7.0-L-01-00029","RGI2000-v7.0-G-01-00026",0,1,-1,1,817
"RGI2000-v7.0-L-01-00030","RGI2000-v7.0-G-01-00027",0,1,-1,1,543
